location_name,wind_kph,humidity,precip_mm,temperature_celsius,comfortable_days
Kabul,13.3,24,0.0,26.6,75
Tirana,11.2,94,0.1,19.0,29
Algiers,15.1,29,0.0,23.0,36
Andorra La Vella,11.9,61,0.3,6.3,40
Luanda,13.0,89,0.0,26.0,42
Saint John's,9.0,84,0.02,26.0,49
Buenos Aires,3.6,93,0.0,8.0,40
Yerevan,6.8,40,0.13,19.0,34
Canberra,4.0,87,0.0,9.0,25
Vienna,20.2,63,0.0,16.0,26
Baku,6.8,68,0.0,17.0,33
Nassau,25.9,89,0.0,27.0,64
Manama,22.0,33,0.0,36.0,33
Dhaka,6.8,31,0.0,38.4,43
Bridgetown,25.9,74,0.0,28.0,9
Minsk,19.1,29,0.0,17.0,46
Brussels,6.1,94,0.25,15.0,23
Belmopan,6.8,89,0.0,26.0,60
Sarajevo,3.6,64,0.0,19.0,24
Gaborone,6.8,43,0.0,22.0,121
Bras,4.0,98,0.04,23.1,157
Sofia,20.2,77,0.0,12.0,22
Ouagadougou,11.2,67,0.0,32.0,55
Bujumbura,3.6,66,0.02,21.1,47
Ivory,16.2,44,0.0,27.4,70
Praia,15.1,69,0.0,22.0,77
Phnom Penh,11.2,45,0.0,38.0,2
Ottawa,15.1,71,0.0,12.0,14
Bangui,7.6,60,0.0,28.4,6
N'djamena,14.4,27,0.0,37.2,43
Santiago,6.8,93,0.0,1.0,2
Beijing,15.1,22,0.0,29.0,54
Bogot,14.0,62,0.0,15.9,30
Moroni,23.4,73,0.1,27.5,15
Brazzaville,4.3,66,0.0,29.6,25
San Juan,3.6,100,0.17,21.0,10
Zagreb,15.1,82,0.0,16.0,25
Havana,6.8,84,0.0,26.0,62
Nicosia,9.0,39,0.0,25.0,53
Prague,31.0,49,0.0,18.0,26
Kinshasa,4.0,67,0.0,29.4,26
Copenhagen,31.0,55,0.0,16.0,11
Roseau,12.6,78,0.03,27.2,26
Santo Domingo,13.0,94,0.0,23.0,99
Cairo,15.1,32,0.0,27.0,61
San Salvador,3.6,94,0.3,26.0,49
Malabo,6.1,89,0.2,30.0,4
Asmara,4.7,42,0.15,22.6,163
Tallinn,22.0,43,0.0,19.0,30
Mbabane,6.1,39,0.0,22.2,104
Addis Ababa,10.8,48,0.05,22.3,127
Suva,15.1,89,0.0,26.0,82
Helsinki,24.1,33,0.0,22.0,40
Paris,16.9,72,0.01,15.0,32
Libreville,15.1,75,0.0,29.0,4
Banjul,16.9,83,0.0,23.0,116
Tbilisi,9.0,68,0.02,16.0,42
Berlin,33.1,38,0.0,22.0,46
Accra,9.0,84,0.0,29.0,2
Athens,3.6,38,0.0,23.0,29
Saint George's,22.0,79,0.06,28.0,9
Guatemala City,22.0,88,0.09,20.0,12
Conakry,3.6,94,0.01,26.0,24
Bissau,6.1,89,0.0,24.0,112
Georgetown,3.6,100,0.08,24.0,62
Port-Au-Prince,4.0,88,0.0,21.0,29
Vatican City,3.6,57,0.0,24.0,41
Tegucigalpa,6.1,78,0.28,23.0,27
Budapest,29.9,43,0.0,20.0,32
New Delhi,11.2,13,0.0,42.0,77
Jakarta,24.1,63,0.02,32.0,1
Tehran,19.1,25,0.0,24.0,49
Baghdad,22.0,17,0.0,33.0,52
Dublin,6.8,94,0.0,14.0,2
Jerusalem,13.0,54,0.0,25.0,40
Rome,3.6,57,0.0,24.0,41
Tokyo,33.1,47,0.0,24.0,41
Amman,15.1,29,0.0,23.0,44
Astana,22.0,34,0.0,16.0,39
Nairobi,3.6,61,0.06,23.0,241
Kuwait City,28.1,44,0.0,30.4,53
Bishkek,13.0,59,0.05,22.5,49
Laos,9.0,74,0.03,28.0,28
Riga,9.0,48,0.0,17.0,46
Beirut,9.0,65,0.0,22.0,56
Maseru,3.6,52,0.0,18.0,118
Monrovia,3.6,94,0.0,26.0,2
Nan,11.2,63,0.0,33.0,17
Vaduz,9.0,72,0.0,15.0,39
Vilnius,13.0,39,0.0,17.0,51
Luxembourg,16.9,88,0.31,14.0,24
Antananarivo,25.9,53,0.0,22.0,98
Lilongwe,13.0,64,0.0,21.0,150
Kuala Lumpur,11.2,84,1.86,29.0,4
Bamako,6.8,74,0.0,27.0,81
Valletta,15.1,45,0.0,28.0,31
Nouakchott,17.6,79,0.0,19.5,81
Port Louis,25.9,83,0.14,24.0,100
Mexico City,10.8,47,0.0,20.8,5
Palikir,3.6,89,0.7,27.0,1
Chi Chi Khvar,23.4,34,0.0,15.9,37
Monaco,20.2,82,0.37,16.0,33
Ulaanbaatar,22.0,17,0.0,27.0,13
Podgorica,3.6,88,0.34,16.0,28
Rabat,9.0,60,0.0,18.0,81
Maputo,9.0,65,0.0,24.0,62
Windhoek,11.2,40,0.0,20.0,170
Yaren,3.6,56,0.0,18.0,21
Kathmandu,19.1,48,0.0,29.0,94
Amsterdam,6.8,94,0.71,16.0,33
Managua,5.8,80,0.01,27.2,139
Niamey,20.2,36,0.0,33.0,54
Abuja,7.2,67,0.0,29.2,11
Pyongyang,18.4,27,0.0,19.0,32
Skopje,3.6,88,0.1,13.0,25
Oslo,13.0,49,0.0,18.0,20
Muscat,19.1,56,0.0,33.0,54
Islamabad,11.9,15,0.0,38.2,50
National,3.6,83,0.0,17.4,148
Panama City,3.6,94,0.06,26.0,17
Port Moresby,15.8,90,1.79,26.2,17
Pasto,11.2,79,0.0,14.1,5
Lima,11.9,89,0.0,16.6,16
Warsaw,31.0,34,0.0,18.0,58
Lisbon,11.2,77,0.01,16.0,39
Doha,19.1,37,0.0,37.0,69
Bucharest,19.1,26,0.0,18.0,24
Moscow,19.1,42,0.0,18.0,65
Kigali,9.0,61,0.79,25.0,128
Basseterre,13.0,79,0.0,27.0,46
Castries,20.2,84,0.06,28.0,14
Kingstown,20.2,84,0.01,28.0,1
Apia,6.1,94,0.79,26.0,39
San Marino,3.6,88,0.6,18.0,29
Riyadh,15.1,7,0.0,39.0,50
Dakar,11.2,78,0.0,22.0,49
Belgrade,41.0,56,0.0,19.0,25
Victoria,20.2,89,0.35,27.0,1
Freetown,3.6,79,0.0,27.4,11
Singapore,4.0,89,1.75,26.0,1
Bratislava,25.9,55,0.0,17.0,25
Ljubljana,16.9,82,0.06,16.0,20
Honiara,15.8,87,0.09,26.9,2
Mogadishu,22.0,89,0.0,30.0,1
Pretoria,6.1,35,0.0,20.0,137
Seoul,15.1,35,0.0,19.0,31
Juba,33.1,10,0.0,30.3,88
Madrid,19.1,47,0.0,14.0,30
Khartoum,25.2,10,0.0,32.5,61
Paramaribo,7.6,96,0.0,24.4,89
Stockholm,11.2,40,0.0,20.0,41
Bern,3.6,82,0.13,14.0,23
Damascus,3.6,31,0.0,24.0,31
Dushanbe,3.6,37,0.05,29.0,49
Dodoma,19.1,57,0.0,25.0,58
Bangkok,15.1,75,0.11,31.0,6
Dili,14.4,77,0.03,28.0,56
Lom,29.9,43,0.0,19.0,12
Nuku`Aloia,33.1,100,2.09,23.0,115
Port Of Spain,3.6,89,0.03,26.0,48
Tunis,19.1,57,0.0,24.0,30
Ankara,13.0,45,0.02,16.0,35
Ashgabat,6.8,69,0.02,23.0,37
Kampala,3.6,60,0.02,25.7,63
Kyiv,13.0,53,0.25,13.8,44
Abu Dhabi,11.2,19,0.0,39.0,56
London,4.0,88,0.2,14.0,26
Montevideo,9.0,87,0.0,6.0,24
Tashkent,15.1,73,0.01,22.0,57
Port Vila,13.0,83,0.02,25.0,99
Caracas,3.6,84,0.05,26.0,49
Hanoi,6.8,62,0.03,30.0,47
Sanaa,12.6,27,0.01,25.7,217
Lusaka,14.4,46,0.0,21.8,127
Harare,9.7,37,0.0,20.2,182
Kabul,7.2,41,0.03,22.0,75
Tirana,6.8,45,0.0,29.0,29
Algiers,28.1,39,0.0,25.0,36
Andorra La Vella,10.1,76,0.22,6.3,40
Luanda,25.9,63,0.0,32.0,42
Saint John's,15.1,75,0.02,29.0,49
Buenos Aires,11.2,76,0.0,11.0,40
Yerevan,4.0,77,0.2,15.0,34
Canberra,3.6,100,0.0,5.0,25
Vienna,25.9,72,0.0,17.0,26
Baku,19.1,59,0.0,17.0,33
Nassau,25.9,79,0.0,29.0,64
Manama,16.9,42,0.0,36.0,33
Dhaka,12.6,41,0.0,34.2,43
Bridgetown,31.0,75,0.02,30.0,9
Minsk,6.8,34,0.0,17.0,46
Brussels,19.1,77,0.04,17.0,23
Belmopan,13.0,79,0.0,30.0,60
Sarajevo,3.6,83,0.02,20.0,24
Gaborone,11.2,19,0.0,29.0,121
Bras,6.5,61,0.0,31.4,157
Sofia,31.0,82,0.15,11.0,22
Ouagadougou,16.9,94,0.23,24.0,55
Bujumbura,33.1,55,0.34,31.0,47
Ivory,18.4,48,0.0,27.8,70
Praia,31.0,58,0.0,26.0,77
Phnom Penh,15.1,75,0.0,30.0,2
Ottawa,11.2,63,0.0,16.0,14
Bangui,3.6,53,0.0,35.0,6
N'djamena,11.2,25,0.0,42.0,43
Santiago,6.8,87,0.0,2.0,2
Beijing,6.8,47,0.0,23.0,54
Bogot,19.8,61,0.0,19.4,30
Moroni,28.1,79,0.04,25.8,15
Brazzaville,25.9,56,0.0,32.0,25
San Juan,9.0,89,0.02,23.0,10
Zagreb,15.1,68,0.68,20.0,25
Havana,16.9,75,0.0,29.0,62
Nicosia,25.9,54,0.0,26.0,53
Prague,41.0,49,0.02,19.0,26
Kinshasa,25.9,56,0.0,32.0,26
Copenhagen,34.9,42,0.0,18.0,11
Roseau,19.1,79,0.04,30.0,26
Santo Domingo,11.2,84,0.03,28.0,99
Cairo,37.1,23,0.0,32.0,61
San Salvador,6.8,89,0.33,26.0,49
Malabo,15.1,80,0.03,32.0,4
Asmara,10.8,52,0.67,22.2,163
Tallinn,29.9,37,0.0,20.0,30
Mbabane,7.6,38,0.0,22.5,104
Addis Ababa,11.2,39,0.0,26.0,127
Suva,3.6,100,0.4,24.0,82
Helsinki,24.1,30,0.0,26.0,40
Paris,11.2,52,0.04,18.0,32
Libreville,13.0,71,1.17,31.0,4
Banjul,13.0,52,0.0,30.0,116
Tbilisi,9.0,88,0.0,13.0,42
Berlin,38.9,31,0.0,24.0,46
Accra,16.9,71,0.0,31.0,2
